Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,atBatsPerHomeRun,atBatsPerHomeRun_p7G,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,atBatsPerHomeRun_p15G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand
Brandon Dixon,641525,116,97.0,55.0,34.0,16.0,3.0,14.0,115.0,17.0,0.0,82.0,3.0,0.248,331.0,0.288,0.441,0.729,1.0,5.0,0.833,4.0,1416.0,354.0,146.0,44.0,145.0,0.0,3.0,0.332,0.67,23.64,0.0,0.148,4.0,0.172,0.394,0.222,0.0,0.18,11.0,0.19,0.436,0.246,0.222,2.51,1.2,7.53,0.32,28.2,18.73,2.55,0.0,0.62,3.73,12.87,3.45,1.22,1.0,2.0,0.5,1.0,0.5,1.0,0.5,0.0
Dawel Lugo,608475,116,50.0,54.0,14.0,5.0,3.0,3.0,38.0,5.0,0.0,38.0,3.0,0.228,167.0,0.258,0.347,0.606,0.0,0.0,0.0,4.0,634.0,178.0,58.0,16.0,68.0,0.0,3.0,0.271,1.35,55.67,12.5,0.32,8.0,0.346,1.026,0.68,28.5,0.228,13.0,0.274,0.695,0.421,0.222,2.51,1.2,7.53,0.32,28.2,18.73,2.55,0.0,0.62,3.73,12.87,3.45,1.22,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Gordon Beckham,493596,116,73.0,46.0,25.0,13.0,2.0,5.0,64.0,13.0,0.0,45.0,4.0,0.22,205.0,0.279,0.376,0.655,1.0,2.0,0.667,6.0,927.0,222.0,77.0,14.0,100.0,0.0,0.0,0.294,0.92,41.0,0.0,0.292,7.0,0.32,0.695,0.375,37.0,0.324,12.0,0.359,0.818,0.459,0.222,2.51,1.2,7.53,0.32,28.2,18.73,2.55,0.0,0.62,3.73,12.87,3.45,1.22,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Harold Castro,605612,116,71.0,73.0,23.0,8.0,3.0,4.0,68.0,7.0,0.0,74.0,0.0,0.287,258.0,0.301,0.388,0.689,2.0,4.0,0.667,4.0,960.0,271.0,100.0,31.0,80.0,2.0,4.0,0.368,1.49,64.5,0.0,0.3,9.0,0.3,0.667,0.367,59.0,0.305,18.0,0.3,0.69,0.39,0.222,2.51,1.2,7.53,0.32,28.2,18.73,2.55,0.0,0.62,3.73,12.87,3.45,1.22,1.0,3.0,0.333,1.0,0.333,0.666,0.333,1.0
Jake Rogers,668670,116,21.0,12.0,9.0,0.0,0.0,4.0,35.0,10.0,0.0,8.0,1.0,0.116,69.0,0.238,0.29,0.527,0.0,0.0,0.0,2.0,351.0,81.0,20.0,7.0,37.0,1.0,0.0,0.133,0.8,17.25,0.0,0.043,1.0,0.154,0.197,0.043,24.0,0.063,3.0,0.196,0.384,0.188,0.222,2.51,1.2,7.53,0.32,28.2,18.73,2.55,0.0,0.62,3.73,12.87,3.45,1.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Hicks,543308,116,81.0,64.0,25.0,13.0,0.0,10.0,92.0,12.0,0.0,58.0,0.0,0.209,277.0,0.241,0.365,0.606,0.0,1.0,1.0,7.0,1092.0,290.0,101.0,25.0,144.0,0.0,1.0,0.273,1.0,27.7,11.0,0.273,6.0,0.273,0.864,0.591,17.67,0.302,16.0,0.327,0.855,0.528,0.222,2.51,1.2,7.53,0.32,28.2,18.73,2.55,0.0,0.62,3.73,12.87,3.45,1.22,1.0,7.0,0.143,1.0,0.25,0.393,0.143,0.0
Jordy Mercer,474568,116,55.0,53.0,15.0,12.0,0.0,6.0,41.0,9.0,1.0,51.0,2.0,0.262,195.0,0.301,0.415,0.716,0.0,0.0,0.0,2.0,809.0,206.0,81.0,14.0,71.0,0.0,0.0,0.304,1.06,32.5,0.0,0.308,8.0,0.333,0.718,0.385,27.5,0.345,19.0,0.368,0.895,0.527,0.222,2.51,1.2,7.53,0.32,28.2,18.73,2.55,0.0,0.62,3.73,12.87,3.45,1.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miguel Cabrera,408234,116,116.0,105.0,33.0,19.0,0.0,9.0,97.0,39.0,3.0,118.0,3.0,0.279,423.0,0.341,0.388,0.729,0.0,0.0,0.0,17.0,1747.0,469.0,164.0,50.0,140.0,0.0,4.0,0.34,0.98,47.0,0.0,0.304,7.0,0.385,0.733,0.348,54.0,0.241,13.0,0.317,0.669,0.352,0.222,2.51,1.2,7.53,0.32,28.2,18.73,2.55,0.0,0.62,3.73,12.87,3.45,1.22,1.0,18.0,0.167,3.0,0.25,0.694,0.444,0.0
Ronny Rodriguez,500135,116,65.0,50.0,22.0,11.0,3.0,10.0,59.0,9.0,0.0,48.0,0.0,0.226,212.0,0.253,0.448,0.701,1.0,3.0,0.75,5.0,792.0,225.0,95.0,32.0,105.0,0.0,4.0,0.259,0.85,21.2,13.0,0.269,7.0,0.286,0.786,0.5,18.0,0.241,13.0,0.263,0.67,0.407,0.222,2.51,1.2,7.53,0.32,28.2,18.73,2.55,0.0,0.62,3.73,12.87,3.45,1.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Travis Demeritte,641513,116,25.0,15.0,12.0,3.0,2.0,2.0,31.0,10.0,0.0,23.0,0.0,0.258,89.0,0.33,0.404,0.734,0.0,3.0,1.0,1.0,416.0,100.0,36.0,7.0,41.0,0.0,1.0,0.368,0.71,44.5,0.0,0.167,4.0,0.259,0.426,0.167,55.0,0.273,15.0,0.31,0.674,0.364,0.222,2.51,1.2,7.53,0.32,28.2,18.73,2.55,0.0,0.62,3.73,12.87,3.45,1.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
