Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,atBatsPerHomeRun,atBatsPerHomeRun_p7G,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,atBatsPerHomeRun_p15G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand,player_got_hit
Anthony Santander,623993,110,70.0,61.0,35.0,16.0,1.0,13.0,55.0,16.0,0.0,80.0,2.0,0.286,280.0,0.326,0.489,0.815,2.0,1.0,0.333,0.0,1230.0,302.0,137.0,38.0,118.0,1.0,3.0,0.312,0.69,21.54,14.0,0.286,8.0,0.333,0.869,0.536,15.75,0.238,15.0,0.262,0.722,0.46,0.222,3.86,1.68,7.71,1.29,7.0,15.14,3.86,0.0,0.69,11.0,14.14,1.29,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,True
Chance Sisco,642082,110,45.0,28.0,23.0,6.0,0.0,6.0,51.0,15.0,0.0,30.0,6.0,0.214,140.0,0.317,0.386,0.702,1.0,0.0,0.0,4.0,686.0,161.0,54.0,18.0,58.0,0.0,0.0,0.289,0.9,23.33,0.0,0.143,2.0,0.25,0.393,0.143,0.0,0.163,7.0,0.265,0.451,0.186,0.222,3.86,1.68,7.71,1.29,7.0,15.14,3.86,0.0,0.69,11.0,14.14,1.29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Chris Davis,448801,110,93.0,51.0,22.0,8.0,0.0,9.0,121.0,31.0,1.0,47.0,3.0,0.173,271.0,0.263,0.303,0.566,0.0,0.0,0.0,6.0,1312.0,308.0,82.0,32.0,116.0,0.0,3.0,0.264,0.93,30.11,0.0,0.053,1.0,0.174,0.227,0.053,39.0,0.128,5.0,0.28,0.511,0.231,0.222,3.86,1.68,7.71,1.29,7.0,15.14,3.86,0.0,0.69,11.0,14.14,1.29,1.0,0.0,3.0,0.667,2.0,0.667,2.334,1.667,1.0,False
DJ Stewart,621466,110,17.0,13.0,3.0,4.0,0.0,0.0,16.0,4.0,1.0,15.0,1.0,0.263,57.0,0.323,0.333,0.656,1.0,1.0,0.5,1.0,255.0,62.0,19.0,3.0,18.0,0.0,0.0,0.366,1.0,0.0,0.0,0.458,11.0,0.536,1.161,0.625,0.0,0.245,12.0,0.315,0.642,0.327,0.222,3.86,1.68,7.71,1.29,7.0,15.14,3.86,0.0,0.69,11.0,14.14,1.29,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,True
Hanser Alberto,593643,110,112.0,130.0,46.0,18.0,2.0,10.0,39.0,13.0,1.0,129.0,3.0,0.314,411.0,0.337,0.44,0.778,2.0,4.0,0.667,6.0,1374.0,432.0,181.0,44.0,144.0,2.0,3.0,0.326,1.1,41.1,8.67,0.231,6.0,0.286,0.901,0.615,14.75,0.288,17.0,0.306,0.916,0.61,0.222,3.86,1.68,7.71,1.29,7.0,15.14,3.86,0.0,0.69,11.0,14.14,1.29,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Jace Peterson,607054,110,26.0,24.0,13.0,3.0,1.0,2.0,21.0,6.0,0.0,20.0,1.0,0.215,93.0,0.267,0.333,0.601,1.0,4.0,0.8,1.0,414.0,101.0,31.0,11.0,31.0,0.0,1.0,0.254,0.83,46.5,0.0,0.125,3.0,0.222,0.347,0.125,52.0,0.231,12.0,0.293,0.678,0.385,0.222,3.86,1.68,7.71,1.29,7.0,15.14,3.86,0.0,0.69,11.0,14.14,1.29,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Jonathan Villar,542340,110,131.0,138.0,87.0,28.0,4.0,20.0,141.0,53.0,0.0,141.0,3.0,0.277,509.0,0.347,0.466,0.813,8.0,28.0,0.778,8.0,2290.0,569.0,237.0,60.0,178.0,2.0,2.0,0.346,1.48,25.45,5.4,0.333,9.0,0.4,1.289,0.889,11.0,0.364,20.0,0.47,1.143,0.673,0.222,3.86,1.68,7.71,1.29,7.0,15.14,3.86,0.0,0.69,11.0,14.14,1.29,1.0,0.0,2.0,0.0,0.0,0.333,0.333,0.0,1.0,True
Pedro Severino,600474,110,78.0,65.0,30.0,11.0,0.0,11.0,65.0,24.0,0.0,63.0,4.0,0.247,255.0,0.319,0.42,0.739,1.0,2.0,0.667,4.0,1178.0,286.0,107.0,34.0,125.0,1.0,2.0,0.287,1.0,23.18,23.0,0.087,2.0,0.125,0.386,0.261,52.0,0.135,7.0,0.196,0.427,0.231,0.222,3.86,1.68,7.71,1.29,7.0,15.14,3.86,0.0,0.69,11.0,14.14,1.29,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Renato Nunez,600524,110,125.0,87.0,66.0,22.0,0.0,28.0,118.0,40.0,1.0,114.0,7.0,0.251,455.0,0.319,0.484,0.803,1.0,1.0,0.5,7.0,2102.0,504.0,220.0,76.0,190.0,0.0,2.0,0.277,0.63,16.25,23.0,0.391,9.0,0.5,1.065,0.565,17.0,0.314,16.0,0.393,0.922,0.529,0.222,3.86,1.68,7.71,1.29,7.0,15.14,3.86,0.0,0.69,11.0,14.14,1.29,1.0,0.0,3.0,0.667,2.0,0.667,1.334,0.667,0.0,True
Richie Martin,621006,110,101.0,76.0,24.0,6.0,3.0,4.0,75.0,14.0,0.0,48.0,5.0,0.194,247.0,0.252,0.291,0.543,1.0,7.0,0.875,6.0,1082.0,270.0,72.0,13.0,124.0,4.0,0.0,0.262,1.46,61.75,0.0,0.231,3.0,0.286,0.517,0.231,0.0,0.207,6.0,0.258,0.465,0.207,0.222,3.86,1.68,7.71,1.29,7.0,15.14,3.86,0.0,0.69,11.0,14.14,1.29,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Rio Ruiz,547004,110,101.0,72.0,27.0,10.0,1.0,8.0,73.0,30.0,0.0,70.0,0.0,0.241,290.0,0.311,0.366,0.676,1.0,0.0,0.0,7.0,1248.0,323.0,106.0,35.0,107.0,1.0,2.0,0.294,0.92,36.25,19.0,0.158,3.0,0.238,0.606,0.368,11.0,0.242,8.0,0.324,0.9,0.576,0.222,3.86,1.68,7.71,1.29,7.0,15.14,3.86,0.0,0.69,11.0,14.14,1.29,1.0,0.0,2.0,0.5,1.0,0.5,1.0,0.5,1.0,True
Stevie Wilkerson,592859,110,93.0,69.0,33.0,15.0,1.0,10.0,95.0,13.0,0.0,62.0,5.0,0.223,278.0,0.268,0.392,0.661,3.0,2.0,0.4,4.0,1218.0,298.0,109.0,34.0,125.0,0.0,2.0,0.297,1.28,27.8,0.0,0.188,3.0,0.222,0.472,0.25,19.0,0.184,7.0,0.22,0.588,0.368,0.222,3.86,1.68,7.71,1.29,7.0,15.14,3.86,0.0,0.69,11.0,14.14,1.29,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,False
