Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,atBatsPerHomeRun,atBatsPerHomeRun_p7G,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,atBatsPerHomeRun_p15G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand
Adam Duvall,594807,144,26.0,11.0,12.0,3.0,0.0,6.0,29.0,4.0,0.0,20.0,2.0,0.241,83.0,0.289,0.494,0.783,0.0,0.0,0.0,0.0,375.0,90.0,41.0,11.0,41.0,0.0,1.0,0.286,0.46,13.83,15.0,0.133,2.0,0.188,0.588,0.4,40.0,0.15,6.0,0.209,0.459,0.25,0.087,1.29,0.31,2.57,1.29,7.0,14.43,1.29,0.0,0.64,2.0,5.14,2.57,0.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adeiny Hechavarria,588751,144,69.0,49.0,27.0,11.0,0.0,6.0,42.0,11.0,0.0,37.0,3.0,0.214,173.0,0.273,0.382,0.654,1.0,3.0,0.75,2.0,703.0,187.0,66.0,22.0,72.0,0.0,0.0,0.248,1.09,28.83,25.0,0.24,6.0,0.345,0.825,0.48,31.0,0.258,8.0,0.361,0.845,0.484,0.087,1.29,0.31,2.57,1.29,7.0,14.43,1.29,0.0,0.64,2.0,5.14,2.57,0.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Billy Hamilton,571740,144,97.0,71.0,33.0,12.0,2.0,0.0,75.0,25.0,0.0,60.0,0.0,0.214,281.0,0.276,0.27,0.546,5.0,20.0,0.8,1.0,1218.0,311.0,76.0,13.0,106.0,3.0,2.0,0.288,0.89,0.0,0.0,0.333,2.0,0.333,0.666,0.333,0.0,0.333,2.0,0.333,0.666,0.333,0.087,1.29,0.31,2.57,1.29,7.0,14.43,1.29,0.0,0.64,2.0,5.14,2.57,0.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Charlie Culberson,518586,144,98.0,27.0,13.0,5.0,2.0,4.0,39.0,6.0,0.0,34.0,1.0,0.276,123.0,0.313,0.447,0.76,1.0,0.0,0.0,5.0,512.0,132.0,55.0,19.0,73.0,1.0,1.0,0.37,1.08,30.75,0.0,0.0,0.0,0.091,0.091,0.0,0.0,0.2,8.0,0.238,0.488,0.25,0.087,1.29,0.31,2.57,1.29,7.0,14.43,1.29,0.0,0.64,2.0,5.14,2.57,0.57,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Francisco Cervelli,465041,144,35.0,31.0,12.0,5.0,0.0,1.0,32.0,9.0,0.0,24.0,4.0,0.211,114.0,0.291,0.281,0.572,0.0,1.0,1.0,4.0,506.0,128.0,32.0,8.0,55.0,1.0,0.0,0.284,1.11,114.0,0.0,0.263,5.0,0.3,0.616,0.316,0.0,0.244,10.0,0.34,0.608,0.268,0.087,1.29,0.31,2.57,1.29,7.0,14.43,1.29,0.0,0.64,2.0,5.14,2.57,0.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Freddie Freeman,518692,144,131.0,119.0,101.0,28.0,2.0,35.0,107.0,73.0,8.0,152.0,4.0,0.3,507.0,0.391,0.57,0.961,3.0,5.0,0.625,16.0,2307.0,585.0,289.0,105.0,175.0,0.0,1.0,0.32,0.92,14.49,7.25,0.207,6.0,0.258,0.879,0.621,9.67,0.241,14.0,0.333,0.885,0.552,0.087,1.29,0.31,2.57,1.29,7.0,14.43,1.29,0.0,0.64,2.0,5.14,2.57,0.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Josh Donaldson,518626,144,128.0,102.0,78.0,29.0,0.0,32.0,134.0,78.0,2.0,121.0,7.0,0.265,457.0,0.379,0.538,0.918,2.0,3.0,0.6,11.0,2264.0,543.0,246.0,76.0,186.0,0.0,1.0,0.305,1.01,14.28,9.0,0.222,6.0,0.3,0.893,0.593,9.33,0.268,15.0,0.369,0.994,0.625,0.087,1.29,0.31,2.57,1.29,7.0,14.43,1.29,0.0,0.64,2.0,5.14,2.57,0.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Joyce,459964,144,100.0,26.0,19.0,8.0,0.0,4.0,32.0,22.0,0.0,34.0,0.0,0.26,131.0,0.366,0.412,0.778,0.0,0.0,0.0,2.0,627.0,153.0,54.0,16.0,55.0,0.0,0.0,0.316,0.67,32.75,0.0,0.286,6.0,0.4,0.733,0.333,36.0,0.25,9.0,0.341,0.702,0.361,0.087,1.29,0.31,2.57,1.29,7.0,14.43,1.29,0.0,0.64,2.0,5.14,2.57,0.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ozzie Albies,645277,144,131.0,119.0,81.0,33.0,7.0,19.0,93.0,42.0,4.0,150.0,3.0,0.285,527.0,0.34,0.482,0.822,3.0,13.0,0.813,2.0,2020.0,574.0,254.0,69.0,179.0,0.0,2.0,0.314,0.71,27.74,31.0,0.097,3.0,0.125,0.351,0.226,31.5,0.206,13.0,0.265,0.63,0.365,0.087,1.29,0.31,2.57,1.29,7.0,14.43,1.29,0.0,0.64,2.0,5.14,2.57,0.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Rafael Ortega,542364,144,9.0,2.0,2.0,1.0,0.0,1.0,6.0,2.0,0.0,6.0,0.0,0.222,27.0,0.276,0.37,0.646,0.0,0.0,0.0,0.0,130.0,29.0,10.0,5.0,13.0,0.0,0.0,0.25,0.15,27.0,25.0,0.2,5.0,0.259,0.619,0.36,27.0,0.222,6.0,0.276,0.646,0.37,0.087,1.29,0.31,2.57,1.29,7.0,14.43,1.29,0.0,0.64,2.0,5.14,2.57,0.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ronald Acuna Jr.,660670,144,131.0,106.0,106.0,17.0,1.0,36.0,151.0,62.0,3.0,156.0,9.0,0.292,534.0,0.375,0.53,0.905,8.0,30.0,0.789,7.0,2580.0,608.0,283.0,89.0,163.0,0.0,0.0,0.346,0.88,14.83,26.0,0.231,6.0,0.375,0.76,0.385,9.83,0.271,16.0,0.377,0.97,0.593,0.087,1.29,0.31,2.57,1.29,7.0,14.43,1.29,0.0,0.64,2.0,5.14,2.57,0.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Flowers,452095,144,69.0,46.0,27.0,8.0,3.0,9.0,84.0,24.0,3.0,50.0,3.0,0.225,222.0,0.308,0.41,0.718,0.0,0.0,0.0,6.0,982.0,250.0,91.0,23.0,103.0,0.0,1.0,0.315,1.07,24.67,0.0,0.278,5.0,0.409,0.798,0.389,47.0,0.191,9.0,0.269,0.609,0.34,0.087,1.29,0.31,2.57,1.29,7.0,14.43,1.29,0.0,0.64,2.0,5.14,2.57,0.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Haseley,656514,143,36.0,40.0,16.0,6.0,0.0,3.0,36.0,6.0,0.0,28.0,3.0,0.233,120.0,0.287,0.358,0.645,0.0,2.0,1.0,3.0,529.0,129.0,43.0,14.0,45.0,0.0,0.0,0.309,2.5,40.0,0.0,0.087,2.0,0.192,0.279,0.087,0.0,0.213,10.0,0.275,0.53,0.255,0.288,6.67,1.06,10.67,1.67,27.0,15.81,7.0,0.0,0.69,5.0,8.33,1.67,1.37,0.25,2.0,0.0,0.0,0.0,0.0,0.0,1.0
Andrew Knapp,595284,143,61.0,22.0,10.0,4.0,0.0,1.0,37.0,15.0,1.0,19.0,3.0,0.19,100.0,0.314,0.26,0.574,0.0,0.0,0.0,2.0,483.0,120.0,26.0,4.0,52.0,2.0,0.0,0.29,0.92,100.0,0.0,0.091,1.0,0.167,0.258,0.091,0.0,0.304,7.0,0.385,0.733,0.348,0.288,6.67,1.06,10.67,1.67,27.0,15.81,7.0,0.0,0.69,5.0,8.33,1.67,1.37,0.25,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Brad Miller,543543,143,54.0,21.0,13.0,4.0,1.0,4.0,27.0,12.0,0.0,21.0,1.0,0.228,92.0,0.324,0.424,0.748,0.0,2.0,1.0,1.0,412.0,105.0,39.0,12.0,40.0,0.0,0.0,0.279,0.91,23.0,0.0,0.222,2.0,0.3,0.633,0.333,0.0,0.188,3.0,0.278,0.528,0.25,0.288,6.67,1.06,10.67,1.67,27.0,15.81,7.0,0.0,0.69,5.0,8.33,1.67,1.37,0.25,6.0,0.167,1.0,0.375,0.875,0.5,1.0
Cesar Hernandez,514917,143,128.0,147.0,59.0,25.0,3.0,8.0,74.0,34.0,3.0,136.0,6.0,0.283,481.0,0.335,0.397,0.732,2.0,7.0,0.778,8.0,2010.0,525.0,191.0,54.0,197.0,0.0,4.0,0.318,1.15,60.12,0.0,0.269,7.0,0.387,0.733,0.346,0.0,0.308,16.0,0.41,0.775,0.365,0.288,6.67,1.06,10.67,1.67,27.0,15.81,7.0,0.0,0.69,5.0,8.33,1.67,1.37,0.25,3.0,0.0,0.0,0.0,0.0,0.0,1.0
Corey Dickerson,572816,143,62.0,45.0,25.0,23.0,2.0,7.0,38.0,13.0,4.0,59.0,0.0,0.301,196.0,0.34,0.546,0.886,0.0,1.0,1.0,4.0,896.0,212.0,107.0,44.0,87.0,0.0,3.0,0.338,0.79,28.0,0.0,0.258,8.0,0.258,0.71,0.452,31.0,0.274,17.0,0.27,0.786,0.516,0.288,6.67,1.06,10.67,1.67,27.0,15.81,7.0,0.0,0.69,5.0,8.33,1.67,1.37,0.25,3.0,0.333,1.0,0.333,0.666,0.333,1.0
J.T. Realmuto,592663,143,123.0,97.0,77.0,31.0,1.0,19.0,109.0,37.0,2.0,122.0,3.0,0.272,449.0,0.328,0.472,0.8,1.0,7.0,0.875,9.0,1931.0,494.0,212.0,68.0,236.0,0.0,5.0,0.316,0.77,23.63,28.0,0.143,4.0,0.273,0.594,0.321,13.5,0.278,15.0,0.375,0.986,0.611,0.288,6.67,1.06,10.67,1.67,27.0,15.81,7.0,0.0,0.69,5.0,8.33,1.67,1.37,0.25,5.0,0.0,0.0,0.167,0.167,0.0,0.0
Jean Segura,516416,143,117.0,158.0,69.0,30.0,3.0,11.0,59.0,27.0,1.0,135.0,8.0,0.287,470.0,0.335,0.434,0.769,2.0,7.0,0.778,9.0,1798.0,508.0,204.0,52.0,177.0,1.0,2.0,0.308,1.31,42.73,0.0,0.37,10.0,0.433,0.989,0.556,0.0,0.288,17.0,0.328,0.735,0.407,0.288,6.67,1.06,10.67,1.67,27.0,15.81,7.0,0.0,0.69,5.0,8.33,1.67,1.37,0.25,10.0,0.4,4.0,0.455,0.855,0.4,0.0
Logan Morrison,489149,143,7.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.25,12.0,0.25,0.333,0.583,0.0,0.0,0.0,0.0,45.0,12.0,4.0,0.0,4.0,0.0,0.0,0.273,0.6,0.0,0.0,0.25,3.0,0.25,0.583,0.333,0.0,0.25,3.0,0.25,0.583,0.333,0.288,6.67,1.06,10.67,1.67,27.0,15.81,7.0,0.0,0.69,5.0,8.33,1.67,1.37,0.25,4.0,0.0,0.0,0.0,0.0,0.0,1.0
Maikel Franco,596748,143,105.0,101.0,44.0,14.0,0.0,15.0,50.0,33.0,17.0,79.0,0.0,0.233,339.0,0.299,0.407,0.706,0.0,0.0,0.0,13.0,1325.0,375.0,138.0,48.0,131.0,0.0,3.0,0.231,0.9,22.6,0.0,0.25,5.0,0.286,0.586,0.3,0.0,0.213,10.0,0.275,0.53,0.255,0.288,6.67,1.06,10.67,1.67,27.0,15.81,7.0,0.0,0.69,5.0,8.33,1.67,1.37,0.25,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Rhys Hoskins,656555,143,128.0,69.0,71.0,25.0,4.0,25.0,131.0,101.0,5.0,106.0,9.0,0.236,450.0,0.383,0.476,0.859,2.0,1.0,0.333,6.0,2612.0,566.0,214.0,73.0,210.0,0.0,4.0,0.272,0.47,18.0,23.0,0.13,3.0,0.412,0.716,0.304,47.0,0.106,5.0,0.348,0.539,0.191,0.288,6.67,1.06,10.67,1.67,27.0,15.81,7.0,0.0,0.69,5.0,8.33,1.67,1.37,0.25,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott Kingery,664068,143,96.0,63.0,51.0,29.0,3.0,15.0,111.0,29.0,1.0,96.0,5.0,0.272,353.0,0.335,0.499,0.834,4.0,10.0,0.714,3.0,1528.0,388.0,176.0,43.0,140.0,0.0,1.0,0.355,0.76,23.53,25.0,0.28,7.0,0.379,0.939,0.56,53.0,0.226,12.0,0.3,0.734,0.434,0.288,6.67,1.06,10.67,1.67,27.0,15.81,7.0,0.0,0.69,5.0,8.33,1.67,1.37,0.25,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Sean Rodriguez,446481,143,54.0,20.0,16.0,3.0,0.0,3.0,31.0,10.0,0.0,17.0,2.0,0.207,82.0,0.305,0.354,0.659,1.0,1.0,0.5,2.0,413.0,98.0,29.0,10.0,42.0,3.0,1.0,0.286,1.11,27.33,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.056,1.0,0.19,0.246,0.056,0.288,6.67,1.06,10.67,1.67,27.0,15.81,7.0,0.0,0.69,5.0,8.33,1.67,1.37,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Frazier,624428,134,120.0,129.0,61.0,25.0,5.0,7.0,59.0,33.0,4.0,117.0,7.0,0.266,440.0,0.326,0.393,0.72,4.0,4.0,0.5,3.0,1850.0,483.0,173.0,35.0,144.0,2.0,1.0,0.293,0.93,62.86,24.0,0.25,6.0,0.28,0.738,0.458,25.0,0.26,13.0,0.327,0.787,0.46,0.256,3.91,0.83,7.83,1.17,23.0,15.0,3.91,0.667,0.62,1.22,4.3,3.52,1.26,0.0,4.0,0.25,1.0,0.25,0.5,0.25,1.0
Bryan Reynolds,668804,134,107.0,91.0,69.0,28.0,3.0,13.0,93.0,42.0,0.0,123.0,6.0,0.328,375.0,0.401,0.523,0.924,2.0,2.0,0.5,8.0,1682.0,426.0,196.0,54.0,132.0,0.0,3.0,0.404,1.28,28.85,0.0,0.36,9.0,0.433,0.993,0.56,29.0,0.31,18.0,0.388,0.922,0.534,0.256,3.91,0.83,7.83,1.17,23.0,15.0,3.91,0.667,0.62,1.22,4.3,3.52,1.26,0.0,2.0,0.0,0.0,0.333,0.333,0.0,1.0
Colin Moran,592567,134,124.0,90.0,39.0,23.0,1.0,12.0,95.0,26.0,4.0,106.0,2.0,0.283,374.0,0.331,0.447,0.777,0.0,0.0,0.0,8.0,1469.0,405.0,167.0,69.0,170.0,0.0,3.0,0.348,1.05,31.17,20.0,0.3,6.0,0.364,0.914,0.55,48.0,0.354,17.0,0.418,0.939,0.521,0.256,3.91,0.83,7.83,1.17,23.0,15.0,3.91,0.667,0.62,1.22,4.3,3.52,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Elias Diaz,553869,134,84.0,74.0,27.0,13.0,0.0,1.0,48.0,21.0,0.0,63.0,0.0,0.247,255.0,0.302,0.31,0.612,0.0,0.0,0.0,9.0,1155.0,278.0,79.0,23.0,107.0,0.0,2.0,0.298,1.03,255.0,0.0,0.25,4.0,0.333,0.583,0.25,0.0,0.237,9.0,0.326,0.589,0.263,0.256,3.91,0.83,7.83,1.17,23.0,15.0,3.91,0.667,0.62,1.22,4.3,3.52,1.26,0.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0
Erik Gonzalez,570481,134,30.0,30.0,6.0,2.0,1.0,0.0,23.0,7.0,3.0,16.0,0.0,0.203,79.0,0.267,0.253,0.521,0.0,4.0,1.0,3.0,316.0,89.0,20.0,2.0,41.0,3.0,0.0,0.286,2.31,0.0,0.0,0.25,3.0,0.25,0.5,0.25,0.0,0.194,6.0,0.219,0.413,0.194,0.256,3.91,0.83,7.83,1.17,23.0,15.0,3.91,0.667,0.62,1.22,4.3,3.52,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob Stallings,607732,134,51.0,34.0,16.0,4.0,0.0,4.0,28.0,11.0,5.0,34.0,2.0,0.268,127.0,0.336,0.394,0.729,0.0,0.0,0.0,1.0,471.0,141.0,50.0,9.0,52.0,1.0,0.0,0.316,1.06,31.75,0.0,0.235,4.0,0.35,0.585,0.235,21.0,0.238,10.0,0.319,0.748,0.429,0.256,3.91,0.83,7.83,1.17,23.0,15.0,3.91,0.667,0.62,1.22,4.3,3.52,1.26,0.0,3.0,0.667,2.0,0.667,2.334,1.667,0.0
Jose Osuna,591741,134,64.0,40.0,24.0,14.0,0.0,8.0,26.0,10.0,0.0,43.0,1.0,0.305,141.0,0.351,0.574,0.925,0.0,0.0,0.0,4.0,578.0,155.0,81.0,28.0,54.0,0.0,2.0,0.321,1.18,17.62,0.0,0.273,6.0,0.32,0.684,0.364,48.0,0.313,15.0,0.34,0.861,0.521,0.256,3.91,0.83,7.83,1.17,23.0,15.0,3.91,0.667,0.62,1.22,4.3,3.52,1.26,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Bell,605137,134,126.0,130.0,86.0,37.0,3.0,32.0,109.0,62.0,9.0,128.0,4.0,0.273,469.0,0.358,0.569,0.927,1.0,0.0,0.0,9.0,2164.0,542.0,267.0,103.0,194.0,0.0,7.0,0.287,1.19,14.66,26.0,0.154,4.0,0.233,0.541,0.308,10.8,0.204,11.0,0.302,0.802,0.5,0.256,3.91,0.83,7.83,1.17,23.0,15.0,3.91,0.667,0.62,1.22,4.3,3.52,1.26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Kevin Newman,621028,134,101.0,126.0,40.0,15.0,3.0,7.0,49.0,23.0,2.0,113.0,4.0,0.302,374.0,0.348,0.414,0.763,6.0,13.0,0.684,4.0,1476.0,404.0,155.0,44.0,160.0,2.0,1.0,0.332,1.42,53.43,0.0,0.28,7.0,0.357,0.677,0.32,58.0,0.293,17.0,0.349,0.746,0.397,0.256,3.91,0.83,7.83,1.17,23.0,15.0,3.91,0.667,0.62,1.22,4.3,3.52,1.26,0.0,2.0,0.0,0.0,0.333,0.333,0.0,0.0
Melky Cabrera,466320,134,111.0,110.0,37.0,19.0,1.0,6.0,36.0,14.0,2.0,89.0,1.0,0.276,323.0,0.308,0.396,0.704,0.0,2.0,1.0,12.0,1167.0,339.0,128.0,39.0,138.0,1.0,0.0,0.295,1.24,53.83,0.0,0.063,1.0,0.118,0.181,0.063,0.0,0.103,4.0,0.125,0.228,0.103,0.256,3.91,0.83,7.83,1.17,23.0,15.0,3.91,0.667,0.62,1.22,4.3,3.52,1.26,0.0,31.0,0.355,11.0,0.355,1.065,0.71,1.0
Pablo Reyes,622569,134,43.0,22.0,9.0,1.0,0.0,2.0,22.0,5.0,0.0,13.0,1.0,0.165,79.0,0.224,0.253,0.477,0.0,1.0,1.0,0.0,327.0,85.0,20.0,9.0,31.0,0.0,0.0,0.2,1.0,39.5,0.0,0.077,1.0,0.077,0.154,0.077,31.0,0.161,5.0,0.212,0.47,0.258,0.256,3.91,0.83,7.83,1.17,23.0,15.0,3.91,0.667,0.62,1.22,4.3,3.52,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
