Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,atBatsPerHomeRun,atBatsPerHomeRun_p7G,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,atBatsPerHomeRun_p15G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand
Charlie Blackmon,453568,115,112.0,122.0,96.0,34.0,7.0,27.0,88.0,29.0,1.0,152.0,6.0,0.318,478.0,0.364,0.588,0.952,4.0,2.0,0.333,5.0,1938.0,514.0,281.0,72.0,112.0,0.0,1.0,0.343,1.04,17.7,28.0,0.214,6.0,0.241,0.598,0.357,21.33,0.266,17.0,0.309,0.793,0.484,0.275,4.0,0.82,9.33,1.0,27.0,16.52,4.0,1.0,0.64,1.93,9.67,5.0,1.59,0.75,25.0,0.24,6.0,0.269,0.669,0.4,1.0
Daniel Murphy,502517,115,104.0,95.0,47.0,29.0,1.0,11.0,62.0,28.0,0.0,102.0,1.0,0.286,357.0,0.336,0.465,0.801,1.0,1.0,0.5,7.0,1528.0,392.0,166.0,66.0,142.0,0.0,4.0,0.316,0.93,32.46,0.0,0.389,7.0,0.5,1.111,0.611,0.0,0.239,11.0,0.308,0.656,0.348,0.275,4.0,0.82,9.33,1.0,27.0,16.52,4.0,1.0,0.64,1.93,9.67,5.0,1.59,0.75,30.0,0.333,10.0,0.474,1.074,0.6,1.0
Dom Nunez,624513,115,4.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,3.0,0.0,0.231,13.0,0.214,0.538,0.753,0.0,0.0,0.0,0.0,68.0,14.0,7.0,2.0,6.0,0.0,1.0,0.25,0.2,13.0,13.0,0.231,3.0,0.214,0.752,0.538,13.0,0.231,3.0,0.214,0.752,0.538,0.275,4.0,0.82,9.33,1.0,27.0,16.52,4.0,1.0,0.64,1.93,9.67,5.0,1.59,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Garrett Hampson,641658,115,75.0,46.0,24.0,7.0,3.0,3.0,67.0,16.0,1.0,42.0,0.0,0.212,198.0,0.27,0.323,0.593,3.0,5.0,0.625,1.0,904.0,217.0,64.0,17.0,83.0,2.0,1.0,0.302,1.0,66.0,18.0,0.222,4.0,0.263,0.652,0.389,36.0,0.222,8.0,0.263,0.652,0.389,0.275,4.0,0.82,9.33,1.0,27.0,16.52,4.0,1.0,0.64,1.93,9.67,5.0,1.59,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ian Desmond,435622,115,115.0,101.0,53.0,28.0,3.0,14.0,101.0,30.0,1.0,94.0,2.0,0.256,367.0,0.314,0.463,0.777,3.0,3.0,0.5,11.0,1524.0,402.0,170.0,56.0,170.0,1.0,2.0,0.315,1.36,26.21,0.0,0.176,3.0,0.263,0.498,0.235,41.0,0.146,6.0,0.239,0.483,0.244,0.275,4.0,0.82,9.33,1.0,27.0,16.52,4.0,1.0,0.64,1.93,9.67,5.0,1.59,0.75,34.0,0.235,8.0,0.25,0.515,0.265,0.0
Nolan Arenado,571448,115,128.0,109.0,85.0,25.0,2.0,33.0,74.0,46.0,9.0,149.0,4.0,0.305,489.0,0.364,0.566,0.931,2.0,2.0,0.5,11.0,1934.0,546.0,277.0,100.0,187.0,0.0,7.0,0.298,0.66,14.82,6.0,0.367,11.0,0.406,1.306,0.9,7.62,0.295,18.0,0.343,1.064,0.721,0.275,4.0,0.82,9.33,1.0,27.0,16.52,4.0,1.0,0.64,1.93,9.67,5.0,1.59,0.75,20.0,0.2,4.0,0.2,0.5,0.3,0.0
Raimel Tapia,606132,115,117.0,111.0,49.0,22.0,5.0,8.0,83.0,20.0,0.0,108.0,0.0,0.29,373.0,0.326,0.44,0.765,3.0,5.0,0.625,2.0,1435.0,393.0,164.0,38.0,144.0,0.0,0.0,0.355,1.56,46.62,0.0,0.31,9.0,0.355,0.665,0.31,0.0,0.365,23.0,0.403,0.784,0.381,0.275,4.0,0.82,9.33,1.0,27.0,16.52,4.0,1.0,0.64,1.93,9.67,5.0,1.59,0.75,3.0,0.0,0.0,0.0,0.0,0.0,1.0
Ryan McMahon,641857,115,112.0,95.0,57.0,19.0,1.0,17.0,121.0,48.0,1.0,100.0,0.0,0.265,378.0,0.347,0.455,0.802,1.0,5.0,0.833,10.0,1772.0,427.0,172.0,66.0,174.0,0.0,1.0,0.344,1.51,22.24,0.0,0.208,5.0,0.345,0.553,0.208,10.2,0.255,13.0,0.387,0.975,0.588,0.275,4.0,0.82,9.33,1.0,27.0,16.52,4.0,1.0,0.64,1.93,9.67,5.0,1.59,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Tony Wolters,547172,115,97.0,83.0,37.0,15.0,2.0,1.0,53.0,28.0,4.0,83.0,5.0,0.277,300.0,0.342,0.35,0.692,1.0,0.0,0.0,7.0,1252.0,341.0,105.0,33.0,130.0,2.0,6.0,0.325,0.93,300.0,0.0,0.19,4.0,0.28,0.518,0.238,0.0,0.271,13.0,0.333,0.625,0.292,0.275,4.0,0.82,9.33,1.0,27.0,16.52,4.0,1.0,0.64,1.93,9.67,5.0,1.59,0.75,4.0,0.25,1.0,0.4,0.65,0.25,1.0
Trevor Story,596115,115,117.0,80.0,94.0,33.0,5.0,28.0,134.0,44.0,0.0,139.0,6.0,0.292,476.0,0.357,0.559,0.916,6.0,18.0,0.75,2.0,2163.0,529.0,266.0,74.0,164.0,0.0,3.0,0.35,0.63,17.0,0.0,0.276,8.0,0.303,0.613,0.31,30.5,0.344,21.0,0.408,0.933,0.525,0.275,4.0,0.82,9.33,1.0,27.0,16.52,4.0,1.0,0.64,1.93,9.67,5.0,1.59,0.75,10.0,0.3,3.0,0.462,1.162,0.7,0.0
Yonathan Daza,602074,115,23.0,21.0,4.0,0.0,0.0,0.0,12.0,4.0,0.0,11.0,0.0,0.183,60.0,0.234,0.183,0.418,0.0,0.0,0.0,2.0,226.0,64.0,11.0,1.0,28.0,0.0,0.0,0.229,1.31,0.0,0.0,0.278,5.0,0.35,0.628,0.278,0.0,0.222,8.0,0.282,0.504,0.222,0.275,4.0,0.82,9.33,1.0,27.0,16.52,4.0,1.0,0.64,1.93,9.67,5.0,1.59,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yonder Alonso,475174,115,96.0,74.0,33.0,10.0,0.0,10.0,64.0,37.0,2.0,54.0,2.0,0.201,269.0,0.3,0.349,0.649,1.0,0.0,0.0,12.0,1268.0,310.0,94.0,36.0,114.0,0.0,2.0,0.223,0.94,26.9,0.0,0.167,2.0,0.231,0.398,0.167,13.0,0.308,8.0,0.419,0.996,0.577,0.275,4.0,0.82,9.33,1.0,27.0,16.52,4.0,1.0,0.64,1.93,9.67,5.0,1.59,0.75,11.0,0.273,3.0,0.333,0.606,0.273,1.0
